,NomeEstacao,Operadora,Responsavel,Municipio-UF,NomeRio,Origem,StatusEstacao,CodEstacao,Bacia,SubBacia,CodRio,Latitude,Longitude,Altitude
1,UHE BELO MONTE BR230,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,VITÓRIA DO XINGU-PA,None,Setor Elétrico,Ativo,00351004,1,18,0,-3.12670,-51.79060,33.00
2,UHE BELO MONTE SÍTIO PIMENTAL,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,VITÓRIA DO XINGU-PA,None,Setor Elétrico,Ativo,00351005,1,18,0,-3.37580,-51.94030,110.00
3,UHE BELO MONTE VISTA ALEGRE,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,ALTAMIRA-PA,None,Setor Elétrico,Ativo,00352009,1,18,0,-3.11860,-52.25250,125.00
4,UHE BELO MONTE SÃO FRANCISCO,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,ALTAMIRA-PA,None,Setor Elétrico,Ativo,00352010,1,18,0,-3.25330,-52.34890,124.00
5,UHE BELO MONTE JOARI,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,SÃO FÉLIX DO XINGÚ-PA,None,Setor Elétrico,Ativo,00652002,1,18,0,-6.56030,-52.07640,0.00
6,MÂNCIO LIMA,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,MÂNCIO LIMA-AC,None,RHN,Ativo,00772006,1,12,0,-7.59360,-72.92610,216.00
7,CARUARU,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CARUARU-PE,None,RHN,Ativo,00835106,3,39,0,-8.30280,-36.01080,545.00
8,MORRINHOS,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ALTO PARNAÍBA-MA,None,RHN,Ativo,00946005,3,34,0,-9.62470,-46.29030,356.00
9,SENA MADUREIRA,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SENA MADUREIRA-AC,None,RHN,Ativo,00968006,1,13,0,-9.05860,-68.65920,190.00
10,SANTA ROSA,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SANTA ROSA DO PURUS-AC,None,RHN,Ativo,00970003,1,13,0,-9.43860,-70.49220,219.00
11,JORDÃO,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,JORDÃO-AC,None,RHN,Ativo,00971002,1,12,0,-9.19389,-71.94917,239.00
12,UHE ESTREITO RIO PONTE ALTA,00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE,00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE,PONTE ALTA DO TOCANTINS-TO,None,Setor Elétrico,Ativo,01047009,2,22,0,-10.74610,-47.53720,316.00
13,UHE COLÍDER METEOROLÓGICA,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,COLIDER-MT,None,Setor Elétrico,Ativo,01055005,1,17,0,-10.95470,-55.77810,0.00
14,PCH ÂNGELO CASSOL MONTANTE,00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.,00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.,ALTA FLORESTA D''OESTE-RO,None,Setor Elétrico,Ativo,01162007,1,15,0,-11.92920,-62.08780,292.00
15,PCH MONTE BELO MONTANTE,00307 - ELETROSSOL - Centrais Elétricas Cassol  Ltda.-ELETROSSOL,00307 - ELETROSSOL - Centrais Elétricas Cassol  Ltda.-ELETROSSOL,ALTA FLORESTA D''OESTE-RO,None,Setor Elétrico,Ativo,01162008,1,15,0,-11.95560,-62.17940,316.00
16,PCH SALDANHA PLU,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,ALTA FLORESTA D''OESTE-RO,None,Setor Elétrico,Ativo,01162011,1,15,0,-11.95860,-62.18390,310.00
17,PCH CABIXI MONTANTE,00686 - CASSOL - Cassol Centrais Elétricas Ltda.,00686 - CASSOL - Cassol Centrais Elétricas Ltda.,VILHENA-RO,None,Setor Elétrico,Ativo,01260008,1,15,0,-12.89920,-60.10830,612.00
18,PCH CASCATA CHUPINGUAIA PLU,00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.,00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.,CHUPINGUAIA-RO,None,Setor Elétrico,Ativo,01260012,1,15,0,-12.85420,-60.85060,267.00
19,"PCH SANTA LUZIA D""""OESTE PLU",00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.,00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.,ALTO ALEGRE DOS PARECIS-RO,None,Setor Elétrico,Ativo,01261002,1,15,0,-12.34330,-61.76920,356.00
20,UHE MANSO MET,00809 - CONS.MANSO - Consórcio UHE Manso,00809 - CONS.MANSO - Consórcio UHE Manso,CHAPADA DOS GUIMARÃES-MT,None,Setor Elétrico,Ativo,01455013,6,66,0,-14.86140,-55.78940,344.00
21,PCH MACHADO MINEIRO PASSAGEM DAS ÉGUAS,00239 - HORIZONTES - Horizontes Energia S.A.,00239 - HORIZONTES - Horizontes Energia S.A.,RIO DO PRADO-MG,None,Setor Elétrico,Ativo,01542030,5,53,0,-15.60920,-42.54170,0.00
22,PZ_FAZ SANTA HELENA,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,None,RHN,Ativo,01543028,4,44,0,-15.37360,-43.68420,0.00
23,PZ_LINHA II,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,None,RHN,Ativo,01543029,4,44,0,-15.38470,-43.72920,0.00
24,PZ_PROJ JAÍBA,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,None,RHN,Ativo,01543030,4,44,0,-15.26080,-43.77500,0.00
25,PZ_FAZENDA MATA VELHA,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,None,RHN,Ativo,01543031,4,44,0,-15.33280,-43.76860,0.00
26,ANA SEDE (COTA ONLINE),00001 - ANA - Agência Nacional de Águas ,00001 - ANA - Agência Nacional de Águas ,BRASÍLIA-DF,None,CotaOnline,Ativo,01547032,6,60,0,-15.81805,-47.94500,1150.00
27,ANA SEDE - TELEMÉTRICA,00001 - ANA - Agência Nacional de Águas ,00001 - ANA - Agência Nacional de Águas ,BRASÍLIA-DF,None,RHN,Ativo,01547079,6,60,0,-15.81810,-47.94500,1150.00
28,UHE SERRA DA MESA BARRO ALTO,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BARRO ALTO-GO,None,Setor Elétrico,Ativo,01548050,2,20,0,-15.11750,-48.92420,584.00
29,PZ_BOM JARDIM,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,SÃO JOÃO DA PONTE-MG,None,RHN,Ativo,01643045,4,44,0,-16.11080,-43.85310,0.00
30,PZ_BARRA DO RIO VERDE,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MONTES CLAROS-MG,None,RHN,Ativo,01643046,4,44,0,-16.17610,-43.77420,0.00
31,PZ_PELG,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MONTES CLAROS-MG,None,RHN,Ativo,01643047,4,44,0,-16.70560,-43.76720,0.00
32,PZ_ETE VIEIRA,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MONTES CLAROS-MG,None,RHN,Ativo,01643048,4,44,0,-16.68720,-43.85440,0.00
33,UHE BATALHA CRISTALINA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,None,Setor Elétrico,Ativo,01647002,6,60,0,-16.78810,-47.60330,1173.00
34,UHE BATALHA FAZENDA BURITI,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,None,Setor Elétrico,Ativo,01647023,6,60,0,-16.96830,-47.34190,881.00
35,UHE BATALHA SÍTIO OLHO D' ÁGUA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,UNAÍ-MG,None,Setor Elétrico,Ativo,01647024,6,60,0,-16.38920,-47.15080,974.00
36,LASSANCE,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,LASSANCE-MG,None,RHN,Ativo,01744010,4,41,0,-17.89000,-44.57670,536.00
37,UHE SERRA DO FACÃO CLIMATOLÓGICA,00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.,00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.,CATALÃO-GO,None,Setor Elétrico,Ativo,01747012,6,60,0,-17.87720,-47.70140,0.00
38,UHE ITUMBIARA PIRACANJUBA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PIRACANJUBA-GO,None,Setor Elétrico,Ativo,01749015,6,60,0,-17.31060,-49.02190,730.00
39,PCH TRONQUEIRAS SE GOVERNADOR VALADARES,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,GOVERNADOR VALADARES-MG,None,Setor Elétrico,Ativo,01841029,5,56,0,-18.85500,-41.96000,0.00
40,UHE ITUMBIARA TUPACIGUARA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,TUPACIGUARA-MG,None,Setor Elétrico,Ativo,01848055,6,60,0,-18.62170,-48.68470,917.00
41,UHE ITUMBIARA ÁGUA LIMPA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ÁGUA LIMPA-GO,None,Setor Elétrico,Ativo,01848059,6,60,0,-18.07470,-48.75640,711.00
42,UHE ITUMBIARA FAZENDA ROSAS,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ANHANGUERA-GO,None,Setor Elétrico,Ativo,01848060,6,60,0,-18.32330,-48.22640,0.00
43,CGH SANTA LUZIA SE ITUIUTABA,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,ITUIUTABA-MG,None,Setor Elétrico,Ativo,01849035,6,60,0,-18.96360,-49.44830,0.00
44,UHE SÁ CARVALHO SE MESQUITA,00624 - SÁ CARVALHO - Sá Carvalho S.A,00624 - SÁ CARVALHO - Sá Carvalho S.A,MESQUITA-MG,None,Setor Elétrico,Ativo,01942033,5,56,0,-19.41690,-42.54920,0.00
45,UHE SÁ CARVALHO JUSANTE,00624 - SÁ CARVALHO - Sá Carvalho S.A,00624 - SÁ CARVALHO - Sá Carvalho S.A,ANTÔNIO DIAS-MG,None,Setor Elétrico,Ativo,01942049,5,56,0,-19.63470,-42.80610,0.00
46,CGH SANTA LUZIA SE SERRA DO SALITRE,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,SERRA DO SALITRE-MG,None,Setor Elétrico,Ativo,01946024,6,60,0,-19.11830,-46.68170,0.00
47,PCH MARTINS SE UBERABA,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,UBERABA-MG,None,Setor Elétrico,Ativo,01947032,6,61,0,-19.71970,-47.91420,0.00
48,ROSÁRIO DA LIMEIRA,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,ROSÁRIO DA LIMEIRA-MG,None,RHN,Ativo,02042051,5,58,0,-20.97888,-42.50944,0.00
49,CGH NOVA PONTE QUEIMADA II BARRAMENTO,01132 - LIMPA - Energia Limpa Participações Ltda.,01132 - LIMPA - Energia Limpa Participações Ltda.,RIO CASCA-MG,None,Setor Elétrico,Ativo,02042436,5,56,0,-20.27690,-42.65170,350.00
50,CONSELHEIRO LAFAIETE,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CONSELHEIRO LAFAIETE-MG,None,RHN,Ativo,02043005,4,40,0,-20.62500,-43.75360,996.00
51,UHE PETI SÃO GONÇALO DO RIO ACIMA,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,BARÃO DE COCAIS-MG,None,Setor Elétrico,Ativo,02043063,5,56,0,-20.02530,-43.53920,0.00
52,UHE CAJURU FAZENDA CAMPO GRANDE,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,PASSA TEMPO-MG,None,Setor Elétrico,Ativo,02044063,4,40,0,-20.62610,-44.43780,0.00
53,LAGOA DOURADA,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,LAGOA DOURADA-MG,RIO ACRE,RHN,Ativo,02044079,4,40,13330000,-20.91027,-44.07750,0.00
54,CGH ANIL SE PIMENTA,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,PIMENTA-MG,None,Setor Elétrico,Ativo,02045031,6,61,0,-20.46830,-45.79310,0.00
55,UHE MARECHAL MASCARENHAS DE MORAES ITAÚ DE MINAS,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ITAÚ DE MINAS-MG,None,Setor Elétrico,Ativo,02046031,6,61,0,-20.74890,-46.74360,0.00
56,UHE LUIZ CARLOS BARRETO DE CARVALHO MET,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PEDREGULHO-SP,None,Setor Elétrico,Ativo,02047115,6,61,0,-20.15830,-47.27810,725.00
57,UHE PORTO COLÔMBIA PLU,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PLANURA-MG,None,Setor Elétrico,Ativo,02048096,6,61,0,-20.11920,-48.57310,0.00
58,UHE MARIMBONDO MET,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,FRONTEIRA-MG,None,Setor Elétrico,Ativo,02049070,6,61,0,-20.29250,-49.19670,454.00
59,SÃO SEBASTIÃO DA VARGEM ALEGRE,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,SÃO SEBASTIÃO DA VARGEM ALEGRE-MG,None,RHN,Ativo,02142096,5,58,0,-21.07250,-42.63694,0.00
60,MIRAI,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,MIRAÍ-MG,None,RHN,Ativo,02142097,5,58,0,-21.19472,-42.61583,0.00
61,PCH MARMELOS SE JUIZ DE FORA,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,JUIZ DE FORA-MG,None,Setor Elétrico,Ativo,02143064,5,58,0,-21.71140,-43.40310,0.00
62,PCH MARMELOS CHAPÉU D'UVAS,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,JUIZ DE FORA-MG,None,Setor Elétrico,Ativo,02143162,5,58,0,-21.58530,-43.52720,746.00
63,UHE LUIZ CARLOS BARRETO DE CARVALHO BOA ESPERANÇA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BOA ESPERANÇA-MG,None,Setor Elétrico,Ativo,02145048,6,61,0,-21.08780,-45.56860,772.00
64,PCH WALTER ROSSI (ANTAS II)  BARRAGEM DO CIPÓ,00232 - DMEDISTR - DME Distribuição S/A,00232 - DMEDISTR - DME Distribuição S/A,POÇOS DE CALDAS-MG,None,Setor Elétrico,Ativo,02146112,6,61,0,-21.85280,-46.60940,1268.00
65,FAZENDA DAS FLORES,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CRAVINHOS-SP,None,RHN,Ativo,02147012,6,61,0,-21.33330,-47.78330,720.00
66,FAZENDA RESFRIADO,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,RIBEIRÃO PRETO-SP,None,RHN,Ativo,02147013,6,61,0,-21.30000,-47.93330,590.00
67,CRAVINHOS,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CRAVINHOS-SP,None,RHN,Ativo,02147014,6,61,0,-21.36670,-47.71670,700.00
68,UHE SIMPLÍCIO FAZENDA SANTA MÔNICA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,VALENÇA-RJ,None,Setor Elétrico,Ativo,02243507,5,58,0,-22.36080,-43.69780,0.00
69,UHE SIMPLÍCIO METEOROLÓGICA,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,SAPUCAIA-RJ,None,Setor Elétrico,Ativo,02243508,5,58,0,-22.03890,-43.00060,414.00
70,UEL VIGÁRIO PASSO TRÊS,00008 - LIGHT - Light Energia S.A,00008 - LIGHT - Light Energia S.A,RIO CLARO-RJ,None,Setor Elétrico,Ativo,02244107,5,58,0,-22.69250,-44.00690,450.00
71,UHE FUNIL RESENDE AEROPORTO,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,RESENDE-RJ,None,Setor Elétrico,Ativo,02244161,5,58,0,-22.47560,-44.47360,0.00
72,UHE FUNIL GUARATINGUETÁ,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,GUARATINGUETÁ-SP,None,Setor Elétrico,Ativo,02245032,5,58,0,-22.80890,-45.20080,558.00
73,UHE SALTO GRANDE FAZENDA SÃO PAULO,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ÁGUAS DE SANTA BARBARA-SP,None,Setor Elétrico,Ativo,02249113,6,64,0,-22.76190,-49.24310,643.00
74,UHE CANOAS I CÂNDIDO MOTTA,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PLATINA-SP,None,Setor Elétrico,Ativo,02250097,6,64,0,-22.75330,-50.46940,437.00
75,UHE CANOAS I PLATINA,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PLATINA-SP,None,Setor Elétrico,Ativo,02250098,6,64,0,-22.60810,-50.18080,472.00
76,UHE CANOAS II IBIRAREMA,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,IBIRAREMA-SP,None,Setor Elétrico,Ativo,02250099,6,64,0,-22.86640,-50.09360,432.00
77,UHE CANOAS II PALMITAL,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PALMITAL-SP,None,Setor Elétrico,Ativo,02250100,6,64,0,-22.72220,-50.13580,530.00
78,UHE TAQUARUÇU ANHUMAS,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ANHUMAS-SP,None,Setor Elétrico,Ativo,02251080,6,64,0,-22.29970,-51.43030,451.00
79,UHE TAQUARUÇU CENTENÁRIO DO SUL,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,CENTENÁRIO DO SUL-PR,None,Setor Elétrico,Ativo,02251081,6,64,0,-22.83170,-51.60280,514.00
80,PCH PORTO GÓES BOM JARDIM,00084 - EMAE - EMAE,00084 - EMAE - EMAE,JUNDIAÍ-SP,None,Setor Elétrico,Ativo,02346469,6,62,0,-23.15250,-46.99000,732.55
81,UHE JURUMIRIM BREJAUVA,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SÃO MIGUEL ARCANJO-SP,None,Setor Elétrico,Ativo,02347192,6,64,0,-23.78560,-47.63560,745.00
82,UHE CANOAS I BAIRRO MORRO CAVADO,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,BURI-SP,None,Setor Elétrico,Ativo,02348090,6,64,0,-23.71220,-48.70420,666.00
83,UHE CANOAS II FAZENDA TRÊS LAGOAS,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,ANGATUBA-SP,None,Setor Elétrico,Ativo,02348092,6,64,0,-23.42830,-48.44000,712.00
84,UHE CHAVANTES FAZENDA SÃO JOÃO,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,RIVERSUL-SP,None,Setor Elétrico,Ativo,02349076,6,64,0,-23.85170,-49.39500,659.80
85,PCH APUCARANINHA MONTANTE 2,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,APUCARANA-PR,None,Setor Elétrico,Ativo,02351080,6,64,0,-23.51750,-51.53030,0.00
86,UHE CANOAS I BAIRRO CACHIMBA,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,APIAÍ-SP,None,Setor Elétrico,Ativo,02448071,6,64,0,-24.48310,-48.77690,880.00
87,UHE CANOAS I BAIRRO CANTAGALO,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,ITAPEVA-SP,None,Setor Elétrico,Ativo,02448072,6,64,0,-24.09360,-48.63890,950.00
88,UHE CANOAS II CAPÃO LIMPO,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,CAPÃO BONITO-SP,None,Setor Elétrico,Ativo,02448073,6,64,0,-24.07140,-48.18250,635.00
89,UHE CHAVANTES BERTANHOLI,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ITARARÉ-SP,None,Setor Elétrico,Ativo,02449067,6,64,0,-24.09030,-49.32920,725.00
90,BOM JARDIM MONTANTE,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,TIBAGI-PR,None,RHN,Ativo,02450009,6,64,0,-24.67780,-50.48440,750.00
91,UHE ITAIPU MANOEL RIBAS,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,MANOEL RIBAS-PR,None,Setor Elétrico,Ativo,02451057,6,64,0,-24.51330,-51.66500,878.00
92,UHE ITAIPU SANTA MARIA,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,SANTA MARIA DO OESTE-PR,None,Setor Elétrico,Ativo,02451059,6,64,0,-24.93330,-51.88330,550.00
93,UHE ITAIPU UBIRATÃ,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,UBIRATÃ-PR,None,Setor Elétrico,Ativo,02452062,6,64,0,-24.55330,-52.98580,530.00
94,CGH MARUMBI GUARATUBA,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,GUARATUBA-PR,None,Setor Elétrico,Ativo,02548079,8,82,0,-25.84530,-48.58030,0.00
95,CGH MARUMBI ANTONINA,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,ANTONINA-PR,None,Setor Elétrico,Ativo,02548098,8,82,0,-25.24330,-48.75220,0.00
96,ENTREMAR,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,PIRAQUARA-PR,None,RHN,Ativo,02549113,6,65,0,-25.48920,-49.04080,900.00
97,UHE SALTO SANTIAGO GUARAPUAVA,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,GUARAPUAVA-PR,None,Setor Elétrico,Ativo,02551015,6,65,0,-25.36560,-51.49560,1051.00
98,UHE SALTO SANTIAGO GOIOXIM,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,GUARAPUAVA-PR,None,Setor Elétrico,Ativo,02551063,6,65,0,-25.24060,-51.92750,917.00
99,UHE SALTO OSÓRIO PINHÃO,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,PINHÃO-PR,None,Setor Elétrico,Ativo,02551069,6,65,0,-25.66170,-51.66220,1070.00
100,UHE FUNDÃO GUARAPUAVA,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,None,Setor Elétrico,Ativo,02551070,6,65,0,-25.38470,-51.49390,0.00
101,UHE FUNDÃO PINHÃO,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,PINHÃO-PR,None,Setor Elétrico,Ativo,02551071,6,65,0,-25.64920,-51.96250,0.00
102,UHE SANTA CLARA ENTRE RIOS,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,None,Setor Elétrico,Ativo,02551072,6,65,0,-25.54580,-51.48830,0.00
103,UHE SALTO OSÓRIO LARANJEIRAS DO SUL,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,LARANJEIRAS DO SUL-PR,None,Setor Elétrico,Ativo,02552009,6,65,0,-25.39780,-52.43500,810.00
104,UHE SALTO SANTIAGO CHOPINZINHO PLU,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,CHOPINZINHO-PR,None,Setor Elétrico,Ativo,02552030,6,65,0,-25.86000,-52.52690,738.00
105,UHE SALTO SANTIAGO FOZ DO JORDÃO,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,FOZ DO JORDÃO-PR,None,Setor Elétrico,Ativo,02552055,6,65,0,-25.77470,-52.11390,615.00
