,NomeEstacao,Operadora,Responsavel,Municipio-UF,NomeRio,Origem,StatusEstacao,CodEstacao,Bacia,SubBacia,CodRio,Latitude,Longitude,Altitude
3644,PCH DERIVAÇÃO DO RIO JORDÃO DIVISA,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,SÃO MATEUS DO SUL-PR,RIO NEGRO,Setor Elétrico,Ativo,65175001,6,65,65120000,-26.09140,-50.33390,770.00
3645,UHE GOV. BENTO MUNHOZ FLUVIÓPOLIS,01163 - F.D.A. - F.D.A. Geração de Energia Elétrica S.A.,01163 - F.D.A. - F.D.A. Geração de Energia Elétrica S.A.,SÃO MATEUS DO SUL-PR,RIO IGUAÇU,Setor Elétrico,Ativo,65220001,6,65,65100000,-26.01920,-50.59250,770.00
3646,PCH RIO TIMBÓ MONTANTE,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,TIMBÓ GRANDE-SC,RIO TIMBÓ,Setor Elétrico,Ativo,65258000,6,65,65130700,-26.61440,-50.67610,950.00
3647,PCH RIO TIMBÓ RIO CAÇADOR GRANDE,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,TIMBÓ GRANDE-SC,RIO CAÇADOR GRANDE,Setor Elétrico,Ativo,65259000,6,65,65170250,-26.59360,-50.72830,933.00
3648,PCH DERIVAÇÃO DO RIO JORDÃO FOZ DO CACHOEIRA,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,TIMBÓ GRANDE-SC,RIO TIMBÓ,Setor Elétrico,Ativo,65260001,6,65,65130700,-26.58750,-50.72830,895.00
3649,PCH RIO TIMBÓ BARRAMENTO,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,IRINEÓPOLIS-SC,RIO TIMBÓ,Setor Elétrico,Ativo,65270000,6,65,65130700,-26.49500,-50.78750,845.00
3650,PCH RIO TIMBÓ JUSANTE,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,IRINEÓPOLIS-SC,RIO TIMBÓ,Setor Elétrico,Ativo,65271000,6,65,65130700,-26.45970,-50.81220,767.00
3651,CGH RIO BONITO JUSANTE,00712 - RIO BONITO - Rio Bonito Energia Ltda.,00712 - RIO BONITO - Rio Bonito Energia Ltda.,PORTO UNIÃO-SC,RIO BONITO,Setor Elétrico,Ativo,65275000,6,65,65130720,-26.46310,-50.88830,871.00
3652,CGH BAITACA JUSANTE,00712 - RIO BONITO - Rio Bonito Energia Ltda.,00712 - RIO BONITO - Rio Bonito Energia Ltda.,PORTO UNIÃO-SC,RIO BONITO,Setor Elétrico,Ativo,65280000,6,65,65130720,-26.44060,-50.83440,792.00
3653,PCH PARDOS JUSANTE,00562 - PARDOS - Hidroelétrica Pardos S.A.,00562 - PARDOS - Hidroelétrica Pardos S.A.,PORTO UNIÃO-SC,RIO DOS PARDOS,Setor Elétrico,Ativo,65293000,6,65,65130730,-26.44720,-50.98610,911.00
