Ordem,Seleção SOE ,Seleção SPR/SRE ,PrioridadeANA,FID,Ano/RHNR,Situação,GestorPCD,CODIGO,NOME,OBJ1,OBJ2,OBJ3,OBJ4,OBJ5,OBJ6,SOMA,NTRECHOSAT,UR,Latitude,Longitude,AreaDrenag,Escala,Registrador de nível,Descarga líquida,Sedimentos,Qualidade da água,Telemétrica,Descricao,Observações Adicionais
1,,,,,2020,,,8250002,CALÇOENE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
25,Sim,,Sim,324,,,,14110000,CUCUÍ,1,0,0,0,0,0,1,1,SUREG-MA,1.2153,-66.852500000000006,74300,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
26,,,,684,,,,14230000,MISSÃO IÇANA,0,0,1,0,0,0,1,1,SUREG-MA,1.0744,-67.594700000000003,23600,1,0,1,0,1,0, 
27,,,,569,,,,14250000,SÃO FELIPE,0,0,1,0,0,0,1,1,SUREG-MA,0.37169999999999997,-67.312799999999996,124000,1,0,1,0,1,0, 
28,,,,484,,,,14280001,TARAQUÁ,0,0,1,0,0,0,1,1,SUREG-MA,0.1303,-68.538600000000002,44300,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
29,,,,119,,,,14310000,CUNURI,0,0,1,0,0,0,1,1,SUREG-MA,0.2094,-69.378100000000003,4250,1,0,1,0,1,0, 
30,,,,822,,,,14320001,SÃO GABRIEL DA CACHOEIRA,0,1,0,0,0,0,1,1,SUREG-MA,-0.1361,-67.084699999999998,193000,1,0,0,0,0,1,TELEMÉTRICA - CAMPBELL_GPRS
31,,,,859,,,,14350000,JUSANTE DA CACHOEIRA DO CAJU,0,0,1,0,0,0,1,1,SUREG-MA,-0.24610000000000001,-67.009200000000007,13100,1,0,1,0,1,0, 
32,,,,611,,,,14380000,MISSÃO MATURACÁ,0,0,0,1,0,0,1,1,SUREG-MA,0.61939999999999995,-66.135000000000005,886,1,0,1,0,1,0, 
33,,,,193,,,,14400000,TAPURUQUARA,0,1,0,0,0,0,1,1,SUREG-MA,-0.42030000000000001,-65.015299999999996,262000,1,0,0,0,0,1,"TELEMÉTRICA - VAISALA_GOESTELEMÉTRICA - CotaOnline"
34,,,,819,,,,14420000,SERRINHA,0,0,1,0,0,0,1,1,SUREG-MA,-0.4819,-64.828900000000004,293000,1,0,1,1,1,0, 
