,codBacia,nmBacia,codSubBacia,nmSubBacia
69,6,RIO PARANÁ,69,"RIOS PARANÁ,TERCERO E OUTROS"
70,6,RIO PARANÁ,69,"RIOS PARANÁ,TERCERO E OUTROS"
71,7,RIO URUGUAI,70,RIO PELOTAS
72,7,RIO URUGUAI,71,RIO CANOAS
73,7,RIO URUGUAI,72,"RIOS URUGUAI,DO PEIXE E OUTROS"
74,7,RIO URUGUAI,73,"RIOS URUGUAI,CHAPECÓ E OUTROS"
75,7,RIO URUGUAI,74,"RIOS URUGUAI,DA VÁRZEA E ...."
76,7,RIO URUGUAI,75,"RIOS URUGUAI,IJUÍ E OUTROS"
77,7,RIO URUGUAI,76,"RIOS URUGUAI,IBICUÍ E OUTROS"
78,7,RIO URUGUAI,77,"RIOS URUGUAI,QUARAÍ E OUTROS"
79,7,RIO URUGUAI,78,RIOS URUGUAI E OUTROS
80,7,RIO URUGUAI,79,"RIO URUGUAI, NEGRO E OUTROS"
81,8,"ATLÂNTICO, TRECHO SUDESTE",80,"RIOS ITAPANHAÚ,ITANHAÉM E ...."
82,8,"ATLÂNTICO, TRECHO SUDESTE",81,RIO RIBEIRA DO IGUAPE
83,8,"ATLÂNTICO, TRECHO SUDESTE",82,"RIOS NHUNDIAQUARA,ITAPOCU E .."
84,8,"ATLÂNTICO, TRECHO SUDESTE",83,RIO ITAJAÍ-AÇU
85,8,"ATLÂNTICO, TRECHO SUDESTE",84,"RIOS TUBARÃO,ARARANGUÁ E ....."
86,8,"ATLÂNTICO, TRECHO SUDESTE",85,RIO JACUÍ
87,8,"ATLÂNTICO, TRECHO SUDESTE",86,RIO TAQUARI
88,8,"ATLÂNTICO, TRECHO SUDESTE",87,LAGOA DOS PATOS
89,8,"ATLÂNTICO, TRECHO SUDESTE",88,LAGOA MIRIM
90,8,"ATLÂNTICO, TRECHO SUDESTE",89,LAGUNA MERIN
91,9,OUTRAS,90,OUTROS RIOS
92,9,OUTRAS,92,LA PLATA
93,9,OUTRAS,93,OCEANO ATLANTICO
94,9,OUTRAS,96,SANTA LUCIA
