RegistroID,Importado,Temporario,Removido,ImportadoRepetido,BaciaCodigo,Codigo,Nome,Jurisdicao,DataIns,DataAlt,RespAlt
74,0,0,0,0,7,72,"RIOS URUGUAI,DO PEIXE E OUTROS",,10/07/2020,,6
75,0,0,0,0,7,73,"RIOS URUGUAI,CHAPECÓ E OUTROS",,10/07/2020,,6
76,0,0,0,0,7,74,"RIOS URUGUAI,DA VÁRZEA E ....",,10/07/2020,,6
77,0,0,0,0,7,75,"RIOS URUGUAI,IJUÍ E OUTROS",,10/07/2020,,6
78,0,0,0,0,7,76,"RIOS URUGUAI,IBICUÍ E OUTROS",,10/07/2020,,6
79,0,0,0,0,7,77,"RIOS URUGUAI,QUARAÍ E OUTROS",,10/07/2020,,6
80,0,0,0,0,7,78,RIOS URUGUAI E OUTROS,,10/07/2020,,6
81,0,0,0,0,7,79,"RIO URUGUAI, NEGRO E OUTROS",,10/07/2020,,6
82,0,0,0,0,8,80,"RIOS ITAPANHAÚ,ITANHAÉM E ....",,10/07/2020,,6
83,0,0,0,0,8,81,RIO RIBEIRA DO IGUAPE,,10/07/2020,,6
84,0,0,0,0,8,82,"RIOS NHUNDIAQUARA,ITAPOCU E ..",,10/07/2020,,6
85,0,0,0,0,8,84,"RIOS TUBARÃO,ARARANGUÁ E .....",,10/07/2020,,6
86,0,0,0,0,8,85,RIO JACUÍ,,10/07/2020,,6
87,0,0,0,0,8,86,RIO TAQUARI,,10/07/2020,,6
88,0,0,0,0,8,87,LAGOA DOS PATOS,,10/07/2020,,6
89,0,0,0,0,8,88,LAGOA MIRIM,,10/07/2020,,6
90,0,0,0,0,9,90,OUTROS RIOS,,10/07/2020,,6
91,0,0,0,0,8,89,LAGUNA MERIN,,10/07/2020,,6
92,0,0,0,0,9,93,OCEANO ATLANTICO,,10/07/2020,,6
93,0,0,0,0,9,92,LA PLATA,,10/07/2020,,6
94,0,0,0,0,9,96,SANTA LUCIA,,10/07/2020,,6
