,Codigo,Sigla,Nome
337,265,CURUÁ,Curuá Energia S.A.
338,1291,CVG-CIA,CVG - Cia. Volta Grande de Papel
339,297,DA ILHA,Da Ilha Energética S.A.
340,68,DAEE-MG,Departamento de Águas e Energia Elétrica de Minas Gerais
341,10,DAEE-SP,Departamento de Águas e Energia Elétrica do Estado de São Paulo
342,492,DARDANELOS,Centrais Elétricas Salto dos Dardanelos S.A
343,387,DCES,Defesa Civil do Estado do Espírito Santo-ES
344,957,DCSC,Defesa Civil de Santa Catarina
345,1253,DELMAX,Delmax - Papelão e Embalagens Ltda.
346,220,DEMEI,Departamento Municipal de Energia de Ijuí-DEMEI
347,1043,DEMEI GERAÇÃO,Departamento Municipal de Energia de Ijuí Geração - DEMEI-Geração
348,65,DEPRC,"Departamento Estadual de Portos, Rios e Canais do Rio Grande do Sul"
349,57,DEPV,Diretoria de Eletrônica e Proteção ao Voo do Ministério da Aeronáutica
350,46,DER-SP,Departamento de Estrada de Rodagem do Estado de São Paulo
351,431,DESENVIX,Desenvix S.A.
352,1139,DESERTO,Central Geradora Hidroelétrica Santana do Deserto Ltda.
353,612,DEUS ENERGÉTICA,Presente de Deus Energética S.A
354,901,DH - URUGUAI,Uruguai
355,1135,DIAMANTINO,Diamantino Energia Ltda
356,119,DINFRA,Departamento Nacional de Infra Estrutura
357,731,DIVISA,Divisa Energia S.A
358,696,DM,DM Construtora de Obras Ltda.
359,66,DMAE,Departamento Municipal de Águas e Esgoto - Porto Alegre / RS 
360,527,DME,DME Energética Ltda.
361,232,DMEDISTR,DME Distribuição S/A
362,3,DNIT,Departamento Nacional de Infra-Estrutura de Transportes 
363,58,DNOCS,Departamento Nacional de Obras Contra as Secas
364,2,DNOS,Departamento Nacional de Obras de Saneamento
365,309,DOBREVÊ,Dobrevê Energética
366,1036,DOIS SALTOS,Dois Saltos Empreendimentos de Geração de Energia Elétrica Ltda.
367,1187,DOMINGOS PRATA,Usina São Domingos do Prata Ltda.
368,1018,DORES,PCH Dores de Guanhães S.A.
369,954,DUALBASE,Dualbase Tecnologia Eletronica Ltda
370,1084,EECO,EECO Jacutinga - Empreendimentos Energéticos do Centro Oeste S.A.
371,337,EEPP,Empresa Energética Porto das Pedras S.A-EEPP
372,26,EESC,Escola de Engenharia de São Carlos
373,16,EEVP,Empresa de Eletricidade Vale do Paranapanema S.A.
374,14,EFMM,Estrada de Ferro Madeira-Mamoré
375,21,EFVM,Estrada de Ferro Vitória-Minas
376,1006,EGP,Enel Green Power Salto Apiacás
377,384,EIRELI,PB Produção de Energia Elétrica - Eireli
378,235,ELECTRA,Electra PCH Buriti SPE S.A.
379,289,ELEJOR,Centrais Elétricas do Rio Jordão S.A-ELEJOR
380,211,ELEKTRO,Instituto Elektro
381,529,ELET. SÃO PEDRO,Eletricidade São Pedro Ltda.
382,173,ELETRAM,Eletricidade da Amazônia S.A-ELETRAM
383,528,ELETRIC,Eletric Fall Ltda.
384,427,ELETRISA,Eletrisa - Operadora de Usinas Ltda.
385,55,ELETROBRÁS,Centrais Elétricas Brasileiras S.A.
386,290,ELETROCESAR,Eletro Cesar Geração de Energia Ltda
387,158,ELETROGOES S/A,Eletrogoes S.A
388,1226,ELETROGOMES,Eletrogomes - Elétrica E Construção Ltda.
389,233,ELETRON,Eletricidade de Rondônia Ltda-ELETRON
390,75,ELETRONORTE,Centrais Elétricas do Norte do Brasil S.A-ELETRONORTE
391,307,ELETROSSOL,Centrais Elétricas Cassol  Ltda.-ELETROSSOL
392,234,ELFSM,Empresa Luz e Força Santa Maria S.A.
393,763,ELMA,Elma Eletricidade de Mato Grosso Ltda.
394,180,ELOI BRUNETTA,Eloi Bruneta e Cia. Ltda.
395,261,ELTAN,Eltan Energética
396,84,EMAE,Empresa Metropolitana de Águas e Energia  S.A-EMAE
397,1207,EMAS,Energética das Emas Ltda.
398,693,EMASA,Empresa Municipal de Saneamento
399,89,EMATER,Empresa Estadual de Assistência Tec. e Ext. Rural
400,152,EMATEX,Ematex Industrial e Comercial Têxtil Ltda.
401,73,EMBASA-BA,Empresa Baiana de Saneamento
402,371,EMBAÚBA,Hidrelétrica Embaúba S.A.
403,42,EMBRAPA/IPAGRO,Empresa Brasileira de Pesquisa Agropecuária
404,97,EMPARN-RN,Empresa de Pesquisa Agropecuária do Rio Grande do Norte
405,417,ENEBRAS,Enebras Projetos de Usinas Hidrelétricas Ltda.
406,704,ENEL BOI,Enel Green Power Cabeça de Boi S.A
407,702,ENEL DA FAZENDA,Enel Green Power da Fazenda S.A
408,1056,ENEL GREEN,Enel Green Power Paranapanema S.A.
409,129,ENERCAN,Campos Novos Energia S.A-ENERCAN
410,1227,ENERCOL,ENERCOL - Energética Oeste Ltda.
411,222,ENERCOOP,Enercoop Ltda.
412,445,ENERGEST,Energest S.A
413,1010,ENERGÉTCANOAS,Companhia Energética Canoas
414,1223,ENERGÉTICA,Energética Aliança Ltda
415,1285,ENERGIA,Energisa Geração - Usina Mauricio S.A.
416,533,ENERGISAFRIBURG,Energisa Nova Friburgo - Distribuidora de Energia S.A
417,278,ENERPEIXE,Enerpeixe S.A
418,130,ENERSUL,Empresa Energética do Mato Grosso do Sul
419,1138,ENERVIX,Enervix Energias do Espiríto Santo
420,223,ENGECORPS,Corpo de Engenheiros Consultores Ltda.
421,138,ENGEP,Engenharia e Pavimentação Ltda
422,112,ENGIE,Engie Brasil Energia S.A.
423,1108,ENGIE BRASIL,Engie Brasil Energia S.A.
424,349,EPA,Eletricidade Paraense Ltda.
425,94,EPAGRI-SC,Empresa de Pesquisa Agrícola de Santa Catarina
426,908,EQUADOR,Equador
427,456,ERSA,ERSA Energias Renováveis s/a
428,342,ESBR,Energia Sustentável do Brasil S.A
429,181,ESCELSA,Espírito Santo Centrais Elétricas S.A.
430,534,ESMERALDA,Esmeralda S.A
431,450,ESPORA,Espora Energética S.A
432,698,ESPRA,Energética Serra da Prata S.A-ESPRA
433,535,ESTAÇÃO INDAIAL,Estação Indaial Energética S.A
434,1245,ESTREITO,Central Geradora Hidrelétrica Estreito Ltda
435,1290,ESTRELA,Estrela Indústria de Papel Ltda
436,747,EUCLIDES,Euclides Maciel Energética S.A.
437,1163,F.D.A.,F.D.A. Geração de Energia Elétrica S.A.
438,35,FABA,Fomento Agrícola da Bahia
439,182,FAIXA AZUL,Faixa Azul Industria de Móveis para Escritório Ltda.
440,1272,FAPOLPA,Fapolpa Indústria de Papel e Embalagens Ltda.
441,39,FASE,Fomento Agrícola de Sergipe
442,183,FAXINAL,Madeireira Faxinal Ltda.
443,801,FAZ.GIRASSOL,Fazenda Girassol
444,1011,FAZENDA VELHA,Energética Fazenda Velha S.A.
445,59,FEEMA,Fundação Estadual de Engenharia do Meio Ambiente - RJ
446,389,FEMARH-RR,Fundação Estadual do Meio Ambiente e Recursos Hídricos de Roraima
447,188,FEPAM-RS,Fundação Estadual de Proteção Ambiental Henrique Luiz Roessler - RS
448,50,FEPASA,Ferrovia Paulista S.A.
449,286,FEPI,Fundação de Ensino e Pesquisa de Itajubá
450,699,FERLIG,Ferro Liga Ltda.-FERLIG
451,955,FERNANDO COSTA,Fernando Costa Faria & CIA LTDA.
452,536,FERREIRAGOMES,Ferreira Gomes Energia S.A
453,205,FERTILIGAS,Fertiligas Industria e Comércio Ltda.
454,537,FIBRA,Fibra Geração Ltda.
455,512,FIGUEIRÓPOLIS,Companhia Hidroelétrica Figueirópolis
456,538,FIRENZE,Firenze Energética S.A
457,341,FLOW,Flow engenharia
458,208,FLP,Ferro Ligas Piracicaba Ltda.-FLP
459,539,FLSS,Força e Luz São Sebastião Ltda.
460,1277,FMG Energia,FMG Energia Ltda.
461,1154,FOCUS,Focus Geração de Energia Ltda.
462,236,FORCEL,Força e Luz Coronel Vivida Ltda.
463,1188,FORMIGUEIRO,Formigueiro Geração E Comercio De Energia Elétrica Ltda.
464,1092,FORQUILHA,Hidrelétrica Forquilha Ltda.
465,1118,FORTALEZA,Fortaleza Energia Ltda.
466,1020,FORTUNA,PCH Fortuna ll S.A.
467,442,FOZ DO CHAPECÓ,Foz do Chapecó Energia S.A
468,312,FOZ DO CHOPIM,Foz do Chopim Energética Ltda.
469,1246,FRASCAL,Frascal Geração De Energias Renováveis Ldta
470,1247,FREDERICO,Hidrelétrica Frederico João Cerutti SA
471,1282,FRONJA,Homero Wagner Fronja
472,9,FUNCEME-CE,Fundação Cearense de Meteorologia e Recursos Hídricos
473,430,FUNDAGRO-SC,Fundação de Apoio ao Desenvolimento Rural Sustentável de Sta. Catarina
474,575,FUNDO,Córrego Fundo SPE Ltda.
475,322,FUNIL,Funil Energia S.A.
476,231,FURG,Universidade Federal do Rio Grande
477,69,FURNAS,Furnas Centrais Elétricas S.A.
478,315,GACEL,Galera Centrais Elétricas S.A-GACEL
479,1156,GALERA,Rio Galera Energética S.A.
480,541,GALHEIROS,Galheiros Geração de Energia Elétrica S.A
481,542,GALÓPOLIS,Galópolis Energia S.A
482,311,GALVÃO ENG.,Galvão Engenharia S.A.
483,638,GARÇA BRANCA,Garça Branca Energética S/A
484,399,GARÇAS ENERGIA,Garças Energia e Participações S.A
485,1177,GARCIA,Hidrelétrica Garcia de Angelina SPE Ltda.
486,543,GÊNESIS,Gênesis Energética S.A
487,1175,GÊNESIS,Gênesis Energia S.A
488,444,GERA,GERA - Consultoria e Empreendimentos Energéticos Ltda
489,1197,GERAÇÃO POÇO,Cemig Geração Poço Fundo S.A.
490,72,GERAL,Cia Geral de Eletricidade
491,548,GERAOESTE,Usinas Elétricas do Oeste S.A.
492,103,GERASUL,Centrais Elétricas do Sul do Brasil
493,766,GERDAU,Gerdau Aços Longos S.A
494,700,GERMAT,Geradora de Energia do Estado de Mato Grosso S.A-GERMAT
495,1029,GESM,Geração de Energia Sul de Minas S.A.
496,1289,GETCO,Getco - Geração de Energia e Transmissão ltda
497,367,GIOVENARDI,Eugênio Giovenardi
498,184,GLOBAL,Global Energia Elétrica S.A.
499,1196,GOIÁS,Goiás Geradora de Energia Renovável S.A.
500,701,GOIAS SUL,Goiás Sul Geração de Energia S.A
501,352,GRANDVIEW,Grandview Energia LTDA
502,688,GRAPON,Centrais Hidrelétricas Grapon Ltda.
503,1078,GUAPORÉ,Nova Guaporé Energética S.A.
504,549,GUARANTÃ,Guarantã Energética Ltda.
505,507,GUASSUPI,Salto do Guassupi Energética S/A
506,910,GUIANA,Guiana
507,912,GUIANA FRANCESA,Guiana Francesa
508,550,HACKER,Hacker Industrial Ltda.
509,1248,HACKER,Hacker Energia Ltda.
510,305,HÁGUAS,Háguas Hidrometria e Telemetria
511,185,HEIDRICH,Heidrich Geração Elétrica Ltda
512,1039,HEIDRICH,Heidrich & Heidrich Ltda.
513,260,HIDRECON,Energia Independente
514,703,HIDREL COMODORO,Hidrelétrica Comodoro Ltda.
515,237,HIDROBASA,Hidrometria da Bahia Ltda.
516,88,HIDROESB,Saturnino de Brito S.A.
517,85,HIDROLOGIA,Engenharia Industria e Comércio S.A.
518,1109,HIDROLUZ,Hidroluz Centrais Elétricas Ltda.
519,333,HIDROMAB,Hidromab - Hidrologia e Meio Ambiente
520,447,HIDROMEC,Hidromec - Industria e Comércio Ltda.
521,563,HIDROPOWER,Hidropower Energia S.A
522,87,HIDROSERVICE,Engenharia de Projetos Ltda.
523,564,HIDROSSOL,Hidrossol Hidroelétricas Cassol Ltda.
524,281,HIDROTÉCNICA,Hidrotécnica Serviços Técnicos Ltda
525,415,HIDROTEL,Hidrotel Hidrometria e Telemetria Ltda
526,238,HIDROTÉRMICA,Hidrotérmica S.A.
527,468,HOBECO,Hobeco Ltda.
528,239,HORIZONTES,Horizontes Energia S.A.
529,504,HTEXTIL,Horizonte Têxtil Ltda.
530,108,HYDROCONSULT,Hydroconsult - Hidrométrica Comércio e Serviços Ltda.
531,60,IAA,Instituto do Açúcar e do Alcool
532,67,IAPAR,Instituto Agronomo do Paraná
533,52,IAT-PR,Instituto Água e Terra do Paraná
534,186,IBEMA,Companhia Brasileira de Papel-IBEMA
535,1091,IBICARÉ,Ibicaré Hidrelétrica Ltda.
536,566,IBIRAMA,Ibirama Energética S.A
537,567,IBITURUNA,Ibituruna Hidrelétrica S.A
538,568,IBÓ,Ibó Energética S.A
539,462,IBRAM,Instituto do Meio Ambiente e dos Recursos Hidricos do Distrito Federal
540,25,ICB,Instituto do Cacau da Bahia
541,30,ICOMI,Indústria e Comércio de Minérios
542,907,IDEAM-COLÔMBIA,"Instituto de Hidrologia, Meteorologia y Estudos Ambientales"
543,434,IDEMA-RN,Instituto de Desenvolvimento Sustentável e Meio Ambiente
544,56,IDESP,Instituto de Desenvolvimento Econômico e Social do Pará
545,96,IEMA-ES,Instituto Estadual de Meio Ambiente e Recursos Hidricos - Espirito Santo
546,443,IFM,IFM - Administração e Participação Ltda.
547,498,IG. CAARATINGA,Iguaçu Caaratinga Energia Ltda.
548,101,IGAM-MG,Instituto Mineiro de Gestão das Águas
549,291,IGARN-RN,Instituto de Gestão das Águas do Estado do Rio Grande do Norte
550,343,IGEO/UFRJ,IGEO/UFRJ
551,165,IGUAÇU,Iguaçu Geração de Energia Ltda.
552,1125,IJUÍ,Ijuí Centenária Geração SPE Ltda.
553,569,IJUI ENERGIA,Ijuí Energia S.A
554,732,ILHA COMPRIDA,Ilha Comprida Energia S.A
555,1271,IMARUÍ,Pequena Central Hidrelétrica Rio Imaruí Ltda.
556,116,IMASUL-MS,Instituto de Meio Ambiente de Mato Grosso do Sul
557,253,IMBEL,Indústria de Material Bélico do Brasil-IMBEL
558,270,INCAPER,Instituto Capixaba de Pesquisa
559,1288,INCOMEX,INCOMEX - Serviços de Construção de Redes de Energia Eletrica Eireli
560,570,INDAIÁ GRANDE,Indaiá Grande Energia S.A
561,571,INDAIAZINHO,Indaiazinho Energia S.A
562,330,INDIAVAI ENERG,Indiavai Energética  S.A.
563,438,INEA-RJ,Instituto Estadual do Ambiente
564,114,INEMA-BA,Instituto do Meio Ambiente e Recursos Hídricos - BA
565,439,INFOPER,Infoper
566,1251,INGÁ,Ingá Energia S.A
567,1140,INGÁ-MIRIM,Ingá-Mirim Energia S.A.
568,5,INMET,Instituto Nacional de Meteorologia
569,127,INPE,Instituto Nacional de Pesquisas Espaciais
570,187,INSAM,Indústrias de Madeiras Santa Maria Ltda.-INSAM
571,1098,INVERNADINHA,Energética Invernadinha Ltda.
572,210,INVESTCO,Investco S.A.
573,770,INXU,Inxú Geradora e Comercializadora de Energia Elétrica S.A.
574,383,IPA-PE,Instituto Agronômico de Pernambuco
575,1286,IPE ENERGIA,IPE Energia Ltda.
576,1305,IPÊ-GERAÇÃO,Ipê Geração de Energia Elétrica Ltda.
577,1183,IPIRA,Ipira Energia SPE Ltda.
578,164,IRANI,Celulose Irani S.A.
579,405,IRARA,Irara Energética S.A
580,572,IRCEL,Irmãos Rodrigues Centrais Elétricas Ltda.-IRCEL
581,40,IRGA,Instituto Riograndense do Arroz
582,313,ISA,Instituto Sócio Ambiental
583,573,ISAMU IKEDA,Isamu Ikeda Energia S.A
584,1222,ITABIRITO,Empreendimento Itabirito Ltda
585,574,ITAGUAÇU,Itaguaçu Energia S.A
586,90,ITAIPU,Itaipu  Binacional
587,670,ITAIQUARA,Usina Itaiquara de Açúcar  e Álcool S.A
588,203,ITAMARATI,Itamarati Norte S.A - Agropecuária
589,805,ITAOCARA,Usina Hidrelétrica Etaocara S.A.
590,206,ITAPEBI,Itapebi Geração de Energia S.A.
591,694,ITAUNENSE,Companhia Industrial Itaunense
592,1101,ITIQUIRA III,PCH Itiquira III Energia SPE S.A.
593,189,ITISA,Itiquira Energética S.A-ITISA
594,511,ITUMIRIM,Companhia Energética Itumirim
595,724,JAAR,Jaar Quimica S.A
596,1019,JACARÉ,PCH Jacaré S.A.
597,671,JACIARA,Usina Jaciara S.A
598,1112,JAGUARA,Companhia Energética Jaguara
599,136,JAGUARI,Jaguari Energética S.A
600,1213,JANUÁRIO,Januário de Napoli Geração de Energia S.A.
601,814,JARDIM,Hidrelétrica Jardim Ltda
602,812,JARI,Companhia Energética do Jari S.A.
603,1119,JASP,Hidrelétrica Jasp Ltda.
604,404,JATAÍ,Jataí Energética S.A
605,1100,JAURU S.A.,PCH Jauru S.A.
606,726,JAYADITYA,Jayaditya Empreendimentos e Participações Ltda.
607,287,JCTM,JCTM Ltda.
608,372,JELU,Hidrelétrica Jelu LTDA.
609,742,JESUITA,Jesuíta Energia S.A
610,351,JFG,JFG Energia S.A
611,771,JMALUCELLI,J. Malucelli Construtora de Obras S/A
612,1268,JORDÃO,Hidrelétrica Vale Do Jordão Ltda.
613,1266,JOVELINO,Jovelino Marcial ME.
614,1252,JPH,JPH Empreendimentos E Participaçoes Ltda.
615,1096,JUÍNA,PCH Juína S.A.
616,325,JURUENA_SA,Juruena Energia S.A.
617,577,JURUMIRIM,Jurumirim Energética S.A
618,1124,KINROSS,Kinross Brasil Mineração S.A.
619,43,KLABIN,Klabin S.A
620,576,KLINGELE,Klingele Paper Nova Campina Ltda
621,565,KUHLEMANN,Hydro Kuhlemann Geração Ltda.
622,317,L&S PAR,L&S PAR LTDA e Alupar Investimento S.A.
623,280,L.D.Q.S.P.E.,L.D.Q.S.P.E. Geração de Energia e Participações Ltda.
624,1137,LACERDÓPOLIS,Lacerdópolis Energia S.A.
625,310,LAFARGE,Lafarge Brasil S.A.
626,192,LAGO AZUL,Lago Azul Ltda.-LASA
627,1016,LAGOA AZUL,Lagoa Azul Energética S.A.
628,578,LAGOAGRANDE,Lagoa Grande Energética S.A
629,1047,LAJARI,Lajari Energética S.A.
630,1023,LAJEADO,Hidroelétrica Lajeado Ltda.
631,1026,LAJES,Lajes Energia S.A.
632,579,LARANJINHA,Laranjinha Energética Ltda.
633,191,LARROSA,Larrosa Construmil
634,672,LAVRINHAS,Usina Paulista Lavrinhas de Energia S.A
635,755,LEÃOBRANCO,Leão Branco Geração de Energia Ltda.
636,1256,LIBERDADE,Liberdade Geração De Energia Ltda.
637,221,LIBRAGA,Libraga Brandão e Cia Ltda
638,1120,LIGEIRO,Rio Ligeiro Energia Ltda.
639,8,LIGHT,Light Energia S.A
640,581,LIGHTGER,Lightger S.A
641,1257,LIMEIRA,Limeira Energia S.A
642,1258,LIMEIRO,Limoeiro Energia S.A.
643,1132,LIMPA,Energia Limpa Participações Ltda.
644,1292,LINDNER,Francisco Lindner Industria e Comercio Ltda.
645,736,LINHA APARECIDA,Coogerva Linha Aparecida Energia S.A
646,459,LINHA EMILIA,Linha Emilia Energética S.A.
647,735,LINHA JACINTO,Coogerva Linha Jacinto Energia S.A
648,1216,LINHA_ONZE,Linha Onze Oeste Energia Ltda.
649,92,LMRS-PB,"Laboratório de Met., Rec. Hid. e Sensoriamento Remoto da Paraíba"
650,1094,LOMBO,Lombo do Cavalo S.A. Geração Elétrica.
651,582,LUDESA,Ludesa Energética S.A
652,583,LUMBRÁS,Lumbrás Energética S.A
653,1249,LUXRAY,Luxray Tecnologia Ltda.
654,1267,LUZ,Da Luz Energia Ltda.
655,348,LUZBOA,Luzboa S.A
656,425,M. SERRAT,Monte Serrat Energética S.A
657,748,MACAÚBAS,Macaúbas Energia Renovável Ltda
658,193,MAFRAS,Mafras Energia Ltda.
659,1145,MAFRÁS ENERGIA,Mafrás Energia e Reflorestamento Ltda.
660,224,MAGGI,Maggi Energia S.A.
661,267,MAGNA,Magna Engenharia Ltda.
662,1283,MAINTENANCE,Maintenance Service Engenharia de Manutenção Ltda
663,555,MALAGONE,Hidrelétrica Malagone S.A
664,705,MALUCELLI,J. Malucelli Energia S.A
665,126,MANASA,Madeireira Nacional S/A
666,585,MANGUEIRA,Mangueira Pedra Energia Ltda.
667,1104,MANSO,Ribeirão Manso Energética Ltda.
668,1090,MANTOVILIS,PCH Mantovilis S.A.
669,1087,MANUEL ALVES,Central Geradora Hidrelétrica Manuel Alves Ltda.
670,586,MARACANÃ,Maracanã Energética S.A
671,587,MARCOL,Madeireira Rio Colorado Ltda.-MARCOL
672,1260,MARGARIDA,Consórcio CGH Margarida.
673,252,MARINGÁ,Maringá S.A. Cimento e Ferro-Liga
674,1181,MAROMBAS I,Hidrelétrica Marombas I SPE Ltda.
675,1182,MAROMBAS II,Hidrelétrica Marombas II SPE Ltda.
676,743,MATA VELHA,Mata Velha Energética S.A
677,1261,MATINUV,Central Hidrelétrica Martinuv Ltda
678,1284,MATO,Usina Rio Do Mato Ltda.
679,460,MAUÊ,Mauê S.A - Geradora e Fornecedora de Insumos
680,1086,MAUÉS,Maués S.A.
681,1262,MAXENERGIA,Maxenergia Geração e Comercialização de Energia Ltda.
682,1033,MAYNART,Maynart Energética Ltda.
683,1129,MAZP,Energias Renováveis Mazp Ltda
684,1147,MÉDIO GARCIA,Médio Garcia Hidrelétrica S.A.
685,706,MEGA ENERGIA,Mega Energia Investimentos e Participações Ltda.
686,1191,MERCANTIL,Mercantil Energia Ltda.
687,760,MEYER,Arrozeira Meyer Energia S.A.
688,749,MF PROJETOS,MF Projetos em Energia Ltda
689,1190,MFB,MFB Participações Ltda.
690,817,MINAS,Rio Minas Energia S.A.
691,560,MINÉ,Hidroelétrica Cachoeira do Miné S.A
692,1263,MIRADOURO,Miradouro Energia S.A.
693,1113,MIRANDA,Companhia Energética Miranda
694,464,MIRIM,Rio Sapucaí Mirim Energia Ltda.
695,589,MIZU,Mizu S.A
696,1165,MLJ,MLJ Energias Renováveis Ltda
697,734,MOHINI,Mohini Empreendimentos e Participações
698,590,MOINHO,Moinho S.A
699,429,MONEL,Monel Monjolinho Energética S.A
700,241,MONTE AZUL,Monte Azul Empreendimentos Imobiliários e Geração de Energia Ltda.
701,496,MORRINHOS,Morrinhos Geração e Comércio de Energia Elétrica Ltda.
702,366,MORRO GRANDE,Hidrelétrica Morro Grande Ltda.
703,70,MORRO VELHO,Mineração Morro Velho S.A.
704,1066,MOURÃO,Enel Green Power Mourão S.A.
705,171,MRN,Mineração Rio do Norte
706,591,MUCURI,Mucuri Energética S.A
707,592,MULTIFASE,Multifase Centrais de Energia do Brasil Ltda.
708,593,MURTA,Murta Energética S.A
709,345,MUXFELDT,Muxfeldt Marin e Cia.
710,111,NATURATINS,Instituto Natureza do Tocantins
711,412,NEOINVEST,Neoinvest Investimentos S.A.
712,721,NHANDU,Usina Elétrica do Nhandu S.A
713,356,NICKEL,Companhia Nickel do Brasil
714,1243,NOAH,Noah S Ark Participações Ltda.
715,594,NORTE ENERGIA,Norte Energia S.A
716,545,NOVA FÁTIMA,Geradora de Energia Nova Fátima S.A
717,707,NOVA JUBA,Nova Juba Energética e Participações S.A
718,1085,NOVACASA,Novacasa Geração de Energia SPE Ltda
719,142,NOVELIS,Novelis do Brasil Ltda.
720,773,NOVO MUNDO,Novo Mundo Energética S.A
721,1265,OEIRAS,Oeiras Empreendimentos e Administração Imobiliárias Ltda.
722,1038,OIAPOQUE,Oiapoque Energia S.A.
723,595,OLVEPAR,Olvepar S.A Indústria e Comércio
724,328,OMBREIRAS,Ombreiras Energética S.A.
725,357,OMEGA,Omega Energia Renovável S.A
726,406,ONIX,Ônix Geração de Energia S.A
727,596,OPM,OPM Empreendimentos S.A
728,1201,OPTIGERA,Optigera S.A.
729,584,OSWALDO,Oswaldo Vicintin PCH Ltda
730,597,OURO,Ouro Energética S.A
731,1134,OURO BRANCO,Central Hidrelétrica Ouro Branco Ltda.
732,1179,PACÍFICO,Pacífico Mascarenhas Energética Ltda.
733,680,PAINEL,Painel Energética S/A
734,1141,PALMEIRAS,Central Hidrelétrica Palmeiras do Tocantins Ltda.
735,335,PAMPEANA,Pampeana Energética S.A.
736,217,PANAMBI,Hidroelétrica Panambi S.A.
737,466,PANTANAL,Pantanal Energética Ltda.
738,1042,PAPELÃO,Papelão Apucaraninha Ltda.
739,276,PAPER,International Paper do Brasil Ltda
740,199,PARÁ DE MINAS,Prefeitura Pará de Minas
741,598,PARACATU,Paracatu Energia S.A
742,903,PARAGUAI,Paraguai
743,1149,PARAÍSO,Hidrelétrica Paraíso SPE Ltda.
744,744,PARANÁ,Paraná Geração de Energia S.A
745,131,PARANAPANEMA,Rio Paranapanema Energia S.A
746,419,PARANATINGA,Paranatinga Energia S.A
747,562,PARDOS,Hidroelétrica Pardos S.A.
748,599,PARECIS,Parecis Energia S.A
749,816,PAREDÃO,Paredão de Minas S.A
750,600,PASSO FERRAZ,Passo Ferraz Energia S.A
751,601,PASSOS MAIA,Passos Maia Energética S.A
752,1075,PAULISTA,Paulista Geradora de Energia Ltda.
753,355,PCE,PCE Projetos e Consultorias e Engenharia Ltda
754,521,PCH AGUTI,COTESA Geradora de Energia - PCH Aguti Ltda.
755,1106,PCH BELEZA,Energética PCH Beleza Ltda.
756,1064,PCH BV II,PCH BV II - Geração de Energia S.A.
757,306,PCH FIGUEIRA,Consórcio PCH Figueira
758,522,PCH NOVA TRENTO,Geradora de Energia - PCH Nova Trento S/A.
759,400,PCH TS S.A.,Pequena Central Hidrelétrica TS S.A.
760,524,PCH VALENTIN,COTESA Geradora de Energia - PCH São Valentin Ltda.
761,544,PCHSANTAROSA,PCH Santa Rosa S.A.
762,1254,PEDRA,Laje de Pedra Geração de Energia Ltda.
763,602,PEDRA FURADA,Pedra Furada Energia S.A
764,1236,PEQUENA CAMBARA,Pequena Central Hidrelétrica Cachoeira Do Cambara LTDA
765,556,PEQUI,Hidrelétrica Pequi S.A
766,604,PERDIZES,Perdizes  Energética Ltda.
767,709,PERFORMANCE,PCH Performance Centrais Hidrelétricas Ltda.
768,751,PESADAS,Centrais Construções Pesadas S.A.
769,242,PESQUEIRO,Pesqueiro Energia S.A.
770,605,PETROBRÁS,Petróleo Brasileiro S.A-PETROBRÁS
771,775,PEZZI,Pezzi Energética S.A
772,1015,PHOENIX,Phoenix Geração de Energia S.A.
773,1269,PIABANHA,Central Hidrelétrica Piabanha Ltda.
774,1105,PIARUCUM,Piarucum Energia Ltda.
775,1270,PICADA,Picada 48 Geração E Comércio De Energia Elétrica Ltda
776,606,PIEDADE,Piedade Usina Geradora de Energia S.A
777,1221,PILLARES,Pillares Energy - Geração De Energia S.A
778,374,PINHAL,Pinhal Geradora de Energia S.A.
779,1273,PINHO,Pinho Past Ltda.
780,1264,PIOLHO,Hidrelétrica Rio Piolho Ltda.
781,557,PIPOCA,Hidrelétrica Pipoca S.A
782,607,PIRACICABA,Piracicaba Geradora de Energia Ltda.
783,243,PIRAPAMA,Companhia Industrial Pirapama
784,1274,PIRAPANEMA,Pirapanema Energia S.A.
785,608,PIRAPETINGA,Pirapetinga Hidrelétrica S.A
786,776,PIRAPORA,Pirapora Energia S.A
787,78,PLANALSUCAR,Programa Nacional de Melhoramento da Cana-de-Açúcar
788,609,PLANALTO,Planalto Energética S.A.
789,740,POÇO FUNDO,Poço Fundo Energia S.A
790,1178,POLIFERTIL,Polifertil Energia Eireli
791,316,PONTE ALTA,Energética Ponte Alta S.A
792,244,PONTE DE PEDRA,Ponte de Pedra Energética S.A.
793,1054,PONTE SERRADA,Ponte Serrada Geração de Energia S.A.
794,174,PORTLAND ITAÚ,Companhia Cimento Portland Itaú
795,1148,PORTO,Porto Energética Ltda.
796,611,PORTO FRANCO,Porto Franco Energética S.A
797,273,POUSO ALTO,Pouso Alto Energia S.A.
798,1107,POWERPROJETOS I,Enel Green Power Projetos I S.A.
799,12,PRADA,Cia Prada de Eletricidade
800,1153,PRADO,Antônio Prado Energia S.A.
801,722,PRATA,Usina Elétrica do Prata Ltda.
802,268,PRCPI,Produtividade Rural Comércio de Peças de Irrigação Ltda.
803,515,PREART,Construtora Preart Ltda.
804,754,PRIMAVERA,Primavera Energia S.A
805,207,PRIMO TEDESCO,Fabrica de Papel Primo Tedesco S.A.
806,358,PROMEL,Promel Ltda.
