TipoContrato,OperadoraSigla,TipoPM,TipoCusto,CustoUnitario
CPRM,CPRM-SUREG-MA,RHNR,Medicao,12476.17
CPRM,CPRM-SUREG-PV,RHNR,Medicao,17094.93
CPRM,CPRM-SUREG-BE,RHNR,Medicao,20457.43
CPRM,CPRM-SUREG-RE,RHNR,Medicao,20096.81
CPRM,CPRM-SUREG-FO,RHNR,Medicao,34737.67
CPRM,CPRM-SUREG-SA,RHNR,Medicao,9541.08
CPRM,CPRM-SUREG-SP,RHNR,Medicao,27993.74
CPRM,CPRM-SUREG-PA,RHNR,Medicao,7031.60
CPRM,CPRM-SUREG-BH,RHNR,Medicao,9319.93
CPRM,CPRM-SUREG-GO,RHNR,Medicao,27097.40
CPRM,CPRM-SUREG-TE,RHNR,Medicao,22832.86
CPRM,CPRM,RHNR,Medicao,15908.38
Privado,CONSTRUFAM-SP,RHN,P,2827.63
Privado,CONSTRUFAM-SP,RHN,F,5366.09
Privado,CONSTRUFAM-SP,RHN,PF,3179.68
Privado,CONSTRUFAM-SP,RHN,T,2327.80
Privado,CONSTRUFAM-SP,RHN,D,880.61
Privado,CONSTRUFAM-SP,RHN,S,1249.46
Privado,CONSTRUFAM-SP,RHN,Q,323.51
Privado,CONSTRUFAM-SP,RHN,LT,331.51
Privado,COHIDRO,RHN,P,4017.92
Privado,COHIDRO,RHN,F,4904.67
Privado,COHIDRO,RHN,PF,8951.36
Privado,COHIDRO,RHN,T,3870.59
Privado,COHIDRO,RHN,D,8770.88
Privado,COHIDRO,RHN,S,7059.24
Privado,COHIDRO,RHN,Q,3968.07
Privado,COHIDRO,RHN,LT,3624.52
Privado,CONSTRUFAM-LoteB,RHN,P,3494.84
Privado,CONSTRUFAM-LoteB,RHN,F,4311.66
Privado,CONSTRUFAM-LoteB,RHN,PF,7835.70
Privado,CONSTRUFAM-LoteB,RHN,T,3479.68
Privado,CONSTRUFAM-LoteB,RHN,D,2258.76
Privado,CONSTRUFAM-LoteB,RHN,S,3174.85
Privado,CONSTRUFAM-LoteB,RHN,Q,872.59
Privado,CONSTRUFAM-LoteB,RHN,LT,826.45
Privado,CONSTRUFAM-LoteC,RHN,P,3725.11
Privado,CONSTRUFAM-LoteC,RHN,F,4489.17
Privado,CONSTRUFAM-LoteC,RHN,PF,8243.49
Privado,CONSTRUFAM-LoteC,RHN,T,3563.50
