RegistroID,Importado,Temporario,Removido,ImportadoRepetido,Codigo,Sigla,Nome,DataIns,DataAlt,RespAlt
20419,0,0,0,0,1011,FAZENDA VELHA,Energética Fazenda Velha S.A.,10/07/2020,,6
20420,0,0,0,0,1012,STAHELENASA,Santa Helena Energia S.A,10/07/2020,,6
20421,0,0,0,0,1013,AGUALIMPAMG,Água Limpa Energia S.A. (MG),10/07/2020,,6
20422,0,0,0,0,1014,SAVANA,Savana Geração de Energia S.A.,10/07/2020,,6
20423,0,0,0,0,1015,PHOENIX,Phoenix Geração de Energia S.A.,10/07/2020,,6
20424,0,0,0,0,1016,LAGOA AZUL,Lagoa Azul Energética S.A.,10/07/2020,,6
20425,0,0,0,0,1017,SINOP,Companhia Energética Sinop S.A.,10/07/2020,,6
20426,0,0,0,0,1018,DORES,PCH Dores de Guanhães S.A.,10/07/2020,,6
20427,0,0,0,0,1019,JACARÉ,PCH Jacaré S.A.,10/07/2020,,6
20428,0,0,0,0,1020,FORTUNA,PCH Fortuna ll S.A.,10/07/2020,,6
20429,0,0,0,0,1021,SENHORA,PCH Senhora do Porto S.A.,10/07/2020,,6
20430,0,0,0,0,1022,VIBRAL,Construtora Vibral Ltda.,10/07/2020,,6
20431,0,0,0,0,1023,LAJEADO,Hidroelétrica Lajeado Ltda.,10/07/2020,,6
20432,0,0,0,0,1024,TIJOÁ,Tijoa Participações e Investimentos S.A.,10/07/2020,,6
20433,0,0,0,0,1025,VERDE 02,Verde 02 Energética Ltda.,10/07/2020,,6
20434,0,0,0,0,1026,LAJES,Lajes Energia S.A.,10/07/2020,,6
20435,0,0,0,0,1027,TAMBORIL,Tamboril Energética S.A.,10/07/2020,,6
20436,0,0,0,0,1028,CARNAÚBA,Carnaúba Geração de Energia S.A.,10/07/2020,,6
20437,0,0,0,0,1029,GESM,Geração de Energia Sul de Minas S.A.,10/07/2020,,6
20438,0,0,0,0,1030,TRÊS LEÕES,Três Leões Participações S.A.,10/07/2020,,6
20439,0,0,0,0,1031,RINCÃO,Rincão Energia S.A.,10/07/2020,,6
20440,0,0,0,0,1032,CARAMUJO,Caramujo Energética Ltda.,10/07/2020,,6
20441,0,0,0,0,1033,MAYNART,Maynart Energética Ltda.,10/07/2020,,6
20442,0,0,0,0,1034,VERDE 08,Verde 08 Energia S.A.,10/07/2020,,6
20443,0,0,0,0,1035,RIO DO SAPO,SPE Rio do Sapo Energia S.A,10/07/2020,,6
20444,0,0,0,0,1036,DOIS SALTOS,Dois Saltos Empreendimentos de Geração de Energia Elétrica Ltda.,10/07/2020,,6
20445,0,0,0,0,1037,CAPÃO ALTO,PCH Capão Alto Geração de Energia S.A.,10/07/2020,,6
20446,0,0,0,0,1038,OIAPOQUE,Oiapoque Energia S.A.,10/07/2020,,6
20447,0,0,0,0,1039,HEIDRICH,Heidrich & Heidrich Ltda.,10/07/2020,,6
20448,0,0,0,0,1040,CAJÚ,Cajú Energia Ltda.,10/07/2020,,6
20449,0,0,0,0,1041,TOUROS IV,Touros IV Energética S.A.,10/07/2020,,6
20450,0,0,0,0,1042,PAPELÃO,Papelão Apucaraninha Ltda.,10/07/2020,,6
20451,0,0,0,0,1043,DEMEI GERAÇÃO,Departamento Municipal de Energia de Ijuí Geração - DEMEI-Geração,10/07/2020,,6
20452,0,0,0,0,1044,CERTEL,Certel Energias Renováveis S.A,10/07/2020,,6
20453,0,0,0,0,1045,COURO DO CERVO,Couro do Cervo Energia Ltda.,10/07/2020,,6
