CodigoPLU,CodigoFLU,OperadoraSigla
736048,38812000,CPRM-SUREG-RE
736062,38830000,CPRM-SUREG-RE
736049,38849000,CPRM-SUREG-RE
735124,38860000,CPRM-SUREG-RE
735172,38865000,CPRM-SUREG-RE
735167,38880000,CPRM-SUREG-RE
735036,38895000,CPRM-SUREG-RE
735170,39081250,CPRM-SUREG-RE
735171,39082800,CPRM-SUREG-RE
735173,39084000,CPRM-SUREG-RE
735174,39084010,CPRM-SUREG-RE
736041,39100000,CPRM-SUREG-RE
836098,39130000,CPRM-SUREG-RE
735067,39140000,CPRM-SUREG-RE
735100,39145000,CPRM-SUREG-RE
735066,39150000,CPRM-SUREG-RE
735169,39160000,CPRM-SUREG-RE
835068,39170000,CPRM-SUREG-RE
835156,39189550,CPRM-SUREG-RE
836043,39310000,CPRM-SUREG-RE
835106,39340000,CPRM-SUREG-RE
835154,39345000,CPRM-SUREG-RE
835153,39360000,CPRM-SUREG-RE
835210,39370100,CPRM-SUREG-RE
835150,39431000,CPRM-SUREG-RE
835155,39433000,CPRM-SUREG-RE
835152,39450000,CPRM-SUREG-RE
835140,39480000,CPRM-SUREG-RE
835144,39540750,CPRM-SUREG-RE
835147,39541000,CPRM-SUREG-RE
835148,39550000,CPRM-SUREG-RE
835146,39571000,CPRM-SUREG-RE
836097,39575000,CPRM-SUREG-RE
835151,39590000,CPRM-SUREG-RE
935062,39620000,CPRM-SUREG-RE
936117,39715000,CPRM-SUREG-RE
936112,39720000,CPRM-SUREG-RE
936113,39740000,CPRM-SUREG-RE
935012,39760000,CPRM-SUREG-RE
936119,39800000,CPRM-SUREG-RE
936111,39860000,CPRM-SUREG-RE
935057,39900000,CPRM-SUREG-RE
936125,39950000,CPRM-SUREG-RE
936126,39970000,CPRM-SUREG-RE
2044007,40680000,CPRM-SUREG-BH
2044033,40710000,CPRM-SUREG-BH
1845005,41075001,CPRM-SUREG-BH
1744052,41135000,CPRM-SUREG-BH
2043056,41151000,CPRM-SUREG-BH
2043060,41180000,CPRM-SUREG-BH
2043016,41195050,CPRM-SUREG-BH
2043128,41199998,CPRM-SUREG-BH
1943148,41200430,CPRM-SUREG-BH
1943010,41210000,CPRM-SUREG-BH
1844001,41818000,CPRM-SUREG-BH
1844018,41940000,CPRM-SUREG-BH
1744053,42145498,CPRM-SUREG-BH
1746019,42251000,CPRM-SUREG-BH
1647009,42454000,CPRM-SUREG-GO
1647008,42460000,CPRM-SUREG-BH
1745020,42850000,CPRM-SUREG-BH
1546010,43300000,CPRM-SUREG-BH
1546000,43429998,CPRM-SUREG-BH
1643026,44350000,CPRM-SUREG-BH
1643043,44900000,CPRM-SUREG-BH
1144014,46610000,CPRM-SUREG-SA
1143025,46870000,CPRM-SUREG-SA
1143027,46998000,CPRM-SUREG-SA
838031,48840000,CPRM-SUREG-RE
937023,49330000,CPRM-SUREG-SA
937049,49480050,CPRM-SUREG-RE
1037091,50169500,CPRM-SUREG-SA
1140048,50430000,CPRM-SUREG-SA
1238158,50785000,CPRM-SUREG-SA
1439107,52760000,CPRM-SUREG-SA
1542028,53460500,CPRM-SUREG-SA
1542027,53470000,CPRM-SUREG-SA
1540004,53650000,CPRM-SUREG-SA
1540023,53780000,CPRM-SUREG-SA
1743002,54010005,CPRM-SUREG-BH
1642014,54110002,CPRM-SUREG-BH
1642007,54150000,CPRM-SUREG-BH
1743018,54225000,CPRM-SUREG-BH
1842026,54234000,CPRM-SUREG-BH
1742022,54260000,CPRM-SUREG-BH
1742020,54485000,CPRM-SUREG-BH
1642001,54500000,CPRM-SUREG-BH
1640012,55330000,CPRM-SUREG-BH
1740006,55360000,CPRM-SUREG-BH
1840019,55920000,CPRM-SUREG-BH
2043010,56028000,CPRM-SUREG-BH
2043026,56055000,CPRM-SUREG-BH
2043014,56075000,CPRM-SUREG-BH
2042073,56083000,CPRM-SUREG-BH
2042008,56484998,CPRM-SUREG-BH
1943100,56661000,CPRM-SUREG-BH
1842004,56860000,CPRM-SUREG-BH
1841001,56891900,CPRM-SUREG-BH
2041048,56960005,CPRM-SUREG-BH
1941000,56988500,CPRM-SUREG-BH
1941006,56989400,CPRM-SUREG-BH
1941010,56990000,CPRM-SUREG-BH
1941008,56991500,CPRM-SUREG-BH
1940004,56998200,CPRM-SUREG-BH
2040001,57230000,CPRM-SUREG-BH
2041019,57400000,CPRM-SUREG-BH
2041016,57420000,CPRM-SUREG-BH
2041003,57450000,CPRM-SUREG-BH
2041141,57750000,CPRM-SUREG-SP
2245248,58204000,CPRM-SUREG-SP
2243014,58434000,CPRM-SUREG-SP
2143070,58480500,CPRM-SUREG-SP
2143013,58610000,CPRM-SUREG-SP
2242028,58630002,CPRM-SUREG-SP
2142007,58670002,CPRM-SUREG-SP
2142158,58680001,CPRM-SUREG-SP
2143001,58730001,CPRM-SUREG-SP
2142001,58770000,CPRM-SUREG-SP
2242009,58805000,CPRM-SUREG-SP
2242437,58846000,CPRM-SUREG-SP
2141099,58850000,CPRM-SUREG-SP
2141005,58880001,CPRM-SUREG-SP
2042000,58930000,CPRM-SUREG-SP
2141002,58974000,CPRM-SUREG-SP
1846007,60010000,CPRM-SUREG-BH
1847003,60110000,CPRM-SUREG-BH
1946004,60265000,CPRM-SUREG-BH
1948006,60381000,CPRM-SUREG-BH
1547098,60472235,CPRM-SUREG-GO
1647027,60478480,CPRM-SUREG-GO
1547080,60478482,CPRM-SUREG-GO
1547081,60478493,CPRM-SUREG-GO
1649038,60640000,CPRM-SUREG-GO
1649037,60650000,CPRM-SUREG-GO
1750001,60750000,CPRM-SUREG-GO
1750000,60765000,CPRM-SUREG-GO
1750041,60772000,CPRM-SUREG-GO
1750008,60785005,CPRM-SUREG-GO
1949002,60850000,CPRM-SUREG-BH
1752003,60910000,CPRM-SUREG-GO
1950011,60925001,CPRM-SUREG-BH
1951012,60968000,CPRM-SUREG-GO
2244065,61014000,IGAM-MG
2245073,61271000,IGAM-MG
2245000,61305000,IGAM-MG
2245086,61370000,IGAM-MG
2145001,61460000,IGAM-MG
2245065,61484000,IGAM-MG
2145020,61520000,IGAM-MG
2147190,61834000,CONSTRUFAM-SP
2246175,62584600,CPRM-SUREG-SP
2247055,62615000,CONSTRUFAM-SP
2346446,62655800,CPRM-SUREG-SP
2246174,62663800,CPRM-SUREG-SP
2152023,63970000,CPRM-SUREG-GO
2348037,64040000,CONSTRUFAM-SP
2349063,64242000,IAT-PR
2349033,64360000,IAT-PR
2350062,64380000,IAT-PR
2350066,64501000,IAT-PR
2252010,64550000,IAT-PR
2550000,64619000,IAT-PR
2451006,64652000,IAT-PR
2352010,64675002,IAT-PR
2452001,64785000,IAT-PR
2453001,64795000,IAT-PR
2453043,64799500,IAT-PR
2353002,64810000,IAT-PR
2649016,65095000,IAT-PR
2549061,65136550,IAT-PR
2652009,65945000,IAT-PR
2653069,65950200,IAT-PR
1757001,66120000,CPRM-SUREG-GO
1757003,66125000,CPRM-SUREG-GO
1556020,66270000,CPRM-SUREG-GO
1656001,66340000,CPRM-SUREG-GO
1655001,66460000,CPRM-SUREG-GO
1755003,66600000,CPRM-SUREG-GO
1756003,66750000,CPRM-SUREG-GO
1857003,66810000,CPRM-SUREG-GO
1957010,66825000,CPRM-SUREG-GO
1854006,66849000,CPRM-SUREG-GO
1957003,66895000,CPRM-SUREG-GO
2750003,71350001,CPRM-SUREG-PA
2651081,72715000,CPRM-SUREG-PA
2751061,72810000,CPRM-SUREG-PA
2652090,73770000,CPRM-SUREG-PA
2652088,73820000,CPRM-SUREG-PA
2752059,73960000,CPRM-SUREG-PA
2753052,74295000,CPRM-SUREG-PA
2754023,74720000,CPRM-SUREG-PA
2854030,75230000,CPRM-SUREG-PA
3054026,76300000,CPRM-SUREG-PA
3056003,77500000,CPRM-SUREG-PA
3057002,77590000,CPRM-SUREG-PA
3154010,79200000,CPRM-SUREG-PA
2449008,81139500,IAT-PR
2449000,81200000,IAT-PR
2447042,81530000,CONSTRUFAM-SP
2548099,82009800,IAT-PR
2648033,82270050,EPAGRI-SC
2649013,82320000,EPAGRI-SC
2649068,82549000,EPAGRI-SC
2750035,83040000,EPAGRI-SC
2749055,83130000,EPAGRI-SC
2749002,83250000,EPAGRI-SC
2649086,83360000,EPAGRI-SC
2749001,83440000,EPAGRI-SC
2649004,83677000,EPAGRI-SC
2648038,83840000,EPAGRI-SC
2748095,84095500,EPAGRI-SC
2849008,84551000,EPAGRI-SC
2849002,84560000,EPAGRI-SC
2849024,84853000,EPAGRI-SC
2949024,84990000,EPAGRI-SC
2952059,85900000,CPRM-SUREG-PA
2850047,86160000,CPRM-SUREG-PA
2951092,86472000,CPRM-SUREG-PA
2951070,86510000,CPRM-SUREG-PA
2951143,87170000,CPRM-SUREG-PA
2950102,87317030,CPRM-SUREG-PA
2951141,87382000,CPRM-SUREG-PA
2950099,87399000,CPRM-SUREG-PA
3051045,87460200,CPRM-SUREG-PA
469001,10100000,CPRM-SUREG-MA
572000,10200000,COHIDRO
470002,10500000,COHIDRO
470009,10910000,COHIDRO
568001,12100000,COHIDRO
468004,12180000,COHIDRO
367001,12240000,COHIDRO
266005,12351000,COHIDRO
972000,12360000,CONSTRUFAM-LoteB
872000,12370000,CONSTRUFAM-LoteB
872001,12390000,CONSTRUFAM-LoteB
772004,12500000,CONSTRUFAM-LoteB
772003,12510000,CONSTRUFAM-LoteB
771000,12520000,CONSTRUFAM-LoteC
870004,12590000,CONSTRUFAM-LoteB
166000,12850000,COHIDRO
165000,12872000,COHIDRO
364002,12873000,COHIDRO
869000,13180000,CPRM-SUREG-PV
968005,13310000,CPRM-SUREG-PV
1069005,13439000,CPRM-SUREG-PV
1168001,13470000,CPRM-SUREG-PV
1068005,13540000,CPRM-SUREG-PV
1068000,13550000,CPRM-SUREG-PV
967003,13600002,CPRM-SUREG-PV
867001,13700000,CONSTRUFAM-LoteC
867004,13710001,CONSTRUFAM-LoteC
766001,13750000,CONSTRUFAM-LoteC
764004,13870000,CONSTRUFAM-LoteC
764003,13885000,CONSTRUFAM-LoteC
664000,13886000,CONSTRUFAM-LoteC
563002,13910000,CONSTRUFAM-LoteC
462002,13955000,CONSTRUFAM-LoteC
462001,13962000,CPRM-SUREG-MA
360001,14100000,CPRM-SUREG-MA
8166000,14110000,CPRM-SUREG-MA
8167000,14230000,CPRM-SUREG-MA
8067001,14250000,CPRM-SUREG-MA
8068000,14280001,CPRM-SUREG-MA
8069003,14300000,CPRM-SUREG-MA
66002,14330000,CPRM-SUREG-MA
65002,14421000,CPRM-SUREG-MA
8062000,14440000,CPRM-SUREG-MA
8361007,14489000,CPRM-SUREG-MA
8360003,14500000,CPRM-SUREG-MA
8359000,14526000,CPRM-SUREG-MA
8359002,14526500,CPRM-SUREG-MA
8360000,14550000,CPRM-SUREG-MA
8260005,14620000,CPRM-SUREG-MA
61000,14790000,CPRM-SUREG-MA
161002,14840000,CPRM-SUREG-MA
8060000,14845000,CPRM-SUREG-MA
60000,14850000,CPRM-SUREG-MA
162002,14855000,CPRM-SUREG-MA
161004,14876000,CPRM-SUREG-MA
261000,14880000,CPRM-SUREG-MA
260006,14900050,CPRM-SUREG-MA
260009,14941000,CPRM-SUREG-MA
360004,14990000,CPRM-SUREG-MA
259004,15042000,CPRM-SUREG-MA
1559000,15050000,CPRM-SUREG-GO
1559006,15120001,CPRM-SUREG-GO
1360004,15124009,CPRM-SUREG-GO
1360002,15130000,CPRM-SUREG-PV
1264000,15200000,CPRM-SUREG-PV
965001,15320002,CPRM-SUREG-PV
1067002,15324000,CPRM-SUREG-PV
863008,15400000,CPRM-SUREG-PV
963000,15430000,CPRM-SUREG-PV
1063002,15490500,CPRM-SUREG-PV
1061001,15560000,CPRM-SUREG-PV
763001,15630000,CONSTRUFAM-LoteC
762002,15660000,CONSTRUFAM-LoteC
661001,15670000,CONSTRUFAM-LoteC
561001,15700000,CONSTRUFAM-LoteC
1059000,15750000,CPRM-SUREG-GO
760001,15800000,CONSTRUFAM-LoteC
760000,15830000,CONSTRUFAM-LoteC
459000,15900000,CONSTRUFAM-LoteC
658000,15910000,CONSTRUFAM-LoteC
358001,16030000,CPRM-SUREG-MA
157001,16368000,CPRM-SUREG-MA
155000,16900000,CPRM-SUREG-BE
154001,17090000,CPRM-SUREG-BE
1358002,17091000,CPRM-SUREG-GO
1358007,17092800,CPRM-SUREG-GO
1158001,17093000,CPRM-SUREG-GO
1158003,17095000,CPRM-SUREG-GO
1157000,17120000,CPRM-SUREG-GO
1058006,17123000,CPRM-SUREG-GO
1355001,17200000,CPRM-SUREG-GO
1255001,17210000,CPRM-SUREG-GO
1155000,17280000,CPRM-SUREG-GO
1055001,17340000,CPRM-SUREG-GO
1055000,17343000,CPRM-SUREG-GO
954001,17350000,CPRM-SUREG-GO
956001,17380000,CPRM-SUREG-GO
758000,17430000,UFC-Altamira
655004,17675000,UFC-Altamira
455000,17730000,UFC-Altamira
254000,17900000,CPRM-SUREG-BE
154000,18200000,CPRM-SUREG-BE
152005,18390000,CPRM-SUREG-BE
1453000,18409000,UFC-Cuiaba
1353002,18415000,UFC-Cuiaba
1354002,18420000,UFC-Cuiaba
651001,18500000,CPRM-SUREG-BE
654000,18590000,CPRM-SUREG-BE
554000,18650000,CPRM-SUREG-BE
454003,18700000,CPRM-SUREG-BE
8051017,19500000,CPRM-SUREG-BE
350002,19985000,CPRM-SUREG-BE
1549003,20100000,CPRM-SUREG-GO
1447001,21220000,CPRM-SUREG-GO
1346001,21500000,CPRM-SUREG-GO
1346005,21580000,CPRM-SUREG-GO
1248001,22100000,CPRM-SUREG-GO
1147003,22190000,CPRM-SUREG-GO
1147004,22220000,CPRM-SUREG-GO
1148000,22250000,CPRM-SUREG-GO
948000,22500000,CPRM-SUREG-GO
1047000,22680000,CPRM-SUREG-GO
1047001,22700000,CPRM-SUREG-GO
848003,23100000,CPRM-SUREG-GO
847001,23150000,CPRM-SUREG-GO
747001,23250000,CPRM-SUREG-GO
647008,23650000,CPRM-SUREG-TE
1753000,24050000,CPRM-SUREG-GO
1652002,24200000,CPRM-SUREG-GO
1653000,24500000,CPRM-SUREG-GO
1651003,24750000,CPRM-SUREG-GO
1651002,24780000,CPRM-SUREG-GO
1551002,24800000,CPRM-SUREG-GO
1551001,24950000,CPRM-SUREG-GO
1550002,25130000,CPRM-SUREG-GO
1451000,25200000,CPRM-SUREG-GO
1350000,25700000,CPRM-SUREG-GO
1552002,26050000,CPRM-SUREG-GO
1452000,26100000,CPRM-SUREG-GO
1351000,26200000,CPRM-SUREG-GO
1250001,26300000,CPRM-SUREG-GO
1150001,26350000,CPRM-SUREG-GO
1249003,26710000,CPRM-SUREG-GO
1249004,26720000,CPRM-SUREG-GO
1249002,26730000,CPRM-SUREG-GO
1049000,26800000,CPRM-SUREG-GO
849002,27320000,CPRM-SUREG-GO
749000,27550000,CPRM-SUREG-GO
748003,28150000,CPRM-SUREG-GO
648000,28300000,CPRM-SUREG-GO
548000,28850000,CPRM-SUREG-GO
549011,29100000,CPRM-SUREG-BE
549008,29200000,CPRM-SUREG-BE
8251004,30055000,CPRM-SUREG-BE
8251001,30070000,CPRM-SUREG-BE
8150001,30075000,CPRM-SUREG-BE
8151002,30080000,CPRM-SUREG-BE
8052000,30300000,CPRM-SUREG-BE
349001,31020000,CPRM-SUREG-BE
147016,31630000,CPRM-SUREG-BE
146012,32420000,CPRM-SUREG-BE
146005,32450002,CPRM-SUREG-BE
346001,32540000,CPRM-SUREG-BE
247005,32550000,CPRM-SUREG-BE
146008,32620000,CPRM-SUREG-BE
245003,32740000,CPRM-SUREG-BE
245001,32830000,CPRM-SUREG-BE
245007,32850000,CPRM-SUREG-BE
644019,33070000,CPRM-SUREG-TE
446000,33075000,CPRM-SUREG-TE
345006,33190000,CPRM-SUREG-TE
545011,33215000,CPRM-SUREG-TE
545006,33250000,CPRM-SUREG-TE
444008,33260000,CPRM-SUREG-TE
444015,33273000,CPRM-SUREG-TE
444005,33281000,CPRM-SUREG-TE
546008,33321000,CPRM-SUREG-TE
546006,33330000,CPRM-SUREG-TE
445011,33365000,CPRM-SUREG-TE
345000,33380000,CPRM-SUREG-TE
644007,33420000,CPRM-SUREG-TE
644015,33450000,CPRM-SUREG-TE
644012,33460000,CPRM-SUREG-TE
543004,33520000,CPRM-SUREG-TE
543012,33530000,CPRM-SUREG-TE
443003,33550000,CPRM-SUREG-TE
443006,33590000,CPRM-SUREG-TE
443007,33620000,CPRM-SUREG-TE
444001,33630000,CPRM-SUREG-TE
344007,33661000,CPRM-SUREG-TE
344004,33680000,CPRM-SUREG-TE
242003,33700000,CPRM-SUREG-TE
343004,33730000,CPRM-SUREG-TE
343012,33760000,CPRM-SUREG-TE
343001,33770000,CPRM-SUREG-TE
343003,33780000,CPRM-SUREG-TE
745003,34060000,CPRM-SUREG-TE
744011,34090000,CPRM-SUREG-TE
746006,34130000,CPRM-SUREG-TE
745004,34160000,CPRM-SUREG-TE
744000,34170000,CPRM-SUREG-TE
945016,34230000,CPRM-SUREG-TE
844008,34251000,CPRM-SUREG-TE
843010,34261000,CPRM-SUREG-TE
743009,34270000,CPRM-SUREG-TE
741009,34471000,CPRM-SUREG-TE
842014,34564000,CPRM-SUREG-TE
742011,34571000,CPRM-SUREG-TE
742012,34600000,CPRM-SUREG-TE
542023,34620000,CPRM-SUREG-TE
543009,34660000,CPRM-SUREG-TE
542012,34690000,CPRM-SUREG-TE
440005,34730000,CPRM-SUREG-FO
441014,34740000,CPRM-SUREG-TE
541015,34742000,CPRM-SUREG-TE
541002,34750000,CPRM-SUREG-TE
542008,34770000,CPRM-SUREG-TE
342007,34879500,CPRM-SUREG-TE
442005,34930000,CPRM-SUREG-TE
342002,34940000,CPRM-SUREG-TE
341038,34976000,CPRM-SUREG-TE
441018,34979000,CPRM-SUREG-TE
341040,35050000,CPRM-SUREG-FO
340104,35156000,CPRM-SUREG-FO
240015,35205000,CPRM-SUREG-FO
440070,35240000,CPRM-SUREG-FO
440083,35257000,CPRM-SUREG-FO
340064,35275000,CPRM-SUREG-FO
339076,35301000,CPRM-SUREG-FO
340106,35350000,CPRM-SUREG-FO
339000,35370000,CPRM-SUREG-FO
339077,35390000,CPRM-SUREG-FO
339028,35570000,CPRM-SUREG-FO
338014,35668000,CPRM-SUREG-FO
338057,35669100,CPRM-SUREG-FO
438061,35830000,CPRM-SUREG-FO
438097,35871000,CPRM-SUREG-FO
438096,35875500,CPRM-SUREG-FO
438099,35900000,CPRM-SUREG-FO
438022,35950000,CPRM-SUREG-FO
640003,36020000,CPRM-SUREG-FO
639045,36045000,CPRM-SUREG-FO
639073,36070000,CPRM-SUREG-FO
738049,36250000,CPRM-SUREG-FO
638007,36270000,CPRM-SUREG-FO
638014,36290000,CPRM-SUREG-FO
538043,36320000,CPRM-SUREG-FO
538044,36390000,CPRM-SUREG-FO
539037,36470000,CPRM-SUREG-FO
539053,36520000,CPRM-SUREG-FO
538090,36586000,CPRM-SUREG-FO
438098,36630000,CPRM-SUREG-FO
537035,37190000,CPRM-SUREG-RE
737006,37340000,CPRM-SUREG-RE
637064,37410000,CPRM-SUREG-RE
637049,37440000,CPRM-SUREG-RE
536066,37730000,CPRM-SUREG-RE
535054,38129000,CPRM-SUREG-RE
535056,38138000,CPRM-SUREG-RE
535055,38340000,CPRM-SUREG-RE
635078,38500000,CPRM-SUREG-RE
635079,38650000,CPRM-SUREG-RE
735009,38750000,CPRM-SUREG-RE
835048,39187800,CPRM-SUREG-RE
835138,39200000,CPRM-SUREG-RE
836096,39530000,CPRM-SUREG-RE
835149,39540550,CPRM-SUREG-RE
835141,39560000,CPRM-SUREG-RE
835139,39580000,CPRM-SUREG-RE
936120,39689000,CPRM-SUREG-RE
936114,39700000,CPRM-SUREG-RE
935056,39770000,CPRM-SUREG-RE
936121,39852000,CPRM-SUREG-RE
936110,39870000,CPRM-SUREG-RE
1036062,39980000,CPRM-SUREG-RE
2046013,40025000,CPRM-SUREG-BH
2046025,40032000,CPRM-SUREG-BH
2046007,40040000,CPRM-SUREG-BH
2045002,40050000,CPRM-SUREG-BH
1945038,40100000,CPRM-SUREG-BH
2044003,40150000,CPRM-SUREG-BH
1945004,40400000,CPRM-SUREG-BH
2044102,40740000,CPRM-SUREG-BH
1944004,40800001,CPRM-SUREG-BH
2044052,40811100,CPRM-SUREG-BH
1944031,40850000,CPRM-SUREG-BH
1945002,40930000,CPRM-SUREG-BH
1846003,41050000,CPRM-SUREG-BH
1943009,41250000,CPRM-SUREG-BH
